1, 1172, 2.1666664995
1, 1405, 2.47576005116
1, 2193, 3.03032584017
1, 2968, 2.60688251191
2, 52, 3.82516456526
2, 144, 3.37515682305
2, 248, 3.79201669802
2, 314, 4.29086456393
2, 319, 4.15425473304
2, 370, 3.25746623725
2, 371, 3.41993569779
2, 372, 3.70145582289
2, 382, 3.88991617933
2, 405, 2.82528448077
2, 485, 3.25574484948
2, 537, 3.52876533567
2, 550, 4.24549996805
2, 616, 3.74858261996
2, 661, 3.19914045751
2, 720, 3.61386939087
3, 377, 3.62561069608
3, 592, 3.47250582069
3, 595, 3.51499880527
3, 736, 3.3743752091
3, 1197, 3.80394084214
3, 1721, 3.48197131234
3, 2716, 3.51958757121
3, 5349, 3.52314755432
3, 8636, 3.45231169779
3, 44191, 3.81369045062
3, 84236, 3.625
4, 185, 3.85318787481
4, 356, 4.62301295247
4, 357, 4.41701956322
4, 364, 4.41246162193
4, 410, 4.09624783213
4, 435, 3.33433653455
4, 440, 4.42007944024
4, 442, 3.92399534906
4, 588, 4.40607378021
4, 589, 4.68469259392
4, 594, 4.51002987256
4, 596, 4.34835145504
4, 610, 4.09427483947
4, 616, 4.43242646311
4, 919, 4.73686124649
4, 1022, 4.26046448776
4, 1028, 4.55976671435
4, 1032, 4.41228341157
4, 1033, 4.22073727426
4, 1282, 4.56931814236
4, 1334, 3.86796952487
4, 1372, 3.7928577256
4, 1580, 4.36977969839
4, 1858, 3.31915102524
4, 1967, 4.48882250988
4, 2033, 4.28739792941
4, 2078, 4.6166681916
4, 2081, 4.3586429267
4, 2085, 4.27840423858
4, 2087, 4.52337289927
4, 2094, 3.76614467235
4, 2096, 4.58007742893
4, 2102, 4.64283516486
4, 2124, 4.16223847808
4, 2141, 4.21868623845
4, 2454, 4.03539321094
4, 3034, 4.65004861085
4, 3108, 4.43021306839
4, 3255, 4.50792074269
4, 3263, 4.45345136638
4, 4006, 4.35954366413
5, 3, 4.27865799871
5, 39, 3.98400671596
5, 104, 4.10019950353
5, 788, 4.09368464237
5, 1247, 3.74698817207
5, 1485, 4.42603378033
5, 1544, 4.09330333243
5, 1777, 3.91976513416
5, 1997, 4.07521187043
5, 2770, 4.14043228995
5, 4018, 4.16921074431
5, 4025, 4.7833681411
